date,inflation.expectations,inflation,inflation.pcepilfe,inflation.pcepilfe.yoy,exp.ma4,exp.ma4.yoy,exp.ma4.model,exp.ar3.pcepilfe,exp.ar4.pcepilfe,INFCPI1YR,INFCPI10YR
1959-01-01,2.6217576583281175,2.723887422652197,,,,2.6217576583281175,,,,,
1959-04-01,2.532854624900056,2.1341612031851245,2.1341612031850588,,,2.532854624900056,,,,,
1959-07-01,2.129966665333348,2.658156747102966,2.6666481442566337,,,2.129966665333348,,,,,
1959-10-01,2.2327131721546314,2.311484444741492,2.2861075733146663,,2.456922454420445,2.2327131721546314,,,,,
1960-01-01,1.8751453840287335,1.2391348616682092,1.2644366931318984,2.0878384034720643,2.0857343141744478,1.8751453840287335,,,,,
1960-04-01,2.0667339676553196,1.5120985748814426,1.5120668193702613,1.932314807518365,1.9302186570985276,2.0667339676553196,,,,,
1960-07-01,2.26688278455106,1.5815754749814934,1.5648391836506903,1.656862567366879,1.6610733390681593,2.26688278455106,,,,,
1960-10-01,2.0711666861515705,1.3007328077653575,1.3090844974168903,1.412606798392435,1.4083854298241258,1.7724056441874358,,,,,
1961-01-01,1.6562274107315986,0.6737158886590708,0.6820262818447276,1.2670041955706424,1.267030686571841,1.5671970922120804,,,,,
1961-04-01,1.595692241803134,1.3191885265144017,1.3108781333286856,1.2167070240602484,1.218803174480081,1.3882951463475512,,,,,
1961-07-01,1.6367810376692533,1.7356833581508055,1.7356833581507303,1.2594180676852584,1.2573301452724088,1.288934021427146,,,,,
1961-10-01,1.5074936524028466,0.9637665676256225,0.9555390775242145,1.1710317127120895,1.173088585237475,1.2285402500070597,,,,,
1962-01-01,1.5620451406935054,1.4781982824199247,1.4782286312740922,1.3700823000694307,1.3742091836776886,1.2543097761317568,,,,,
1962-04-01,1.530534587987068,1.5217543051840854,1.5381172948123023,1.4268920904403348,1.4248506283451094,1.3068560427267784,,,,,
1962-07-01,1.5210341128639344,1.3206982343466696,1.3125323859657811,1.3211043473940975,1.3211043473940756,1.3222776126539881,,,,,
1962-10-01,1.4046339850883318,0.7562130625552614,0.7480893382336262,1.2692419125714505,1.2692159711264852,1.3468301626188284,,,,,
1963-01-01,1.4926911855312388,1.3138697944252646,1.321993518747,1.2301831344396774,1.2281338491278202,1.31185537121139,,,,,
1963-04-01,1.55278917125234,1.5032142797418506,1.5112808287716106,1.2234740179295045,1.2234988427672615,1.2610008530836825,,,,,
1963-07-01,1.5724426739734427,1.5458022981737622,1.537735749143998,1.2797748587240587,1.2797748587240347,1.2506684809161728,,,,,
1963-10-01,1.658698783226682,1.9238899590684473,1.9238899590684255,1.5737250139327585,1.5716940828523311,1.3267892562564998,,,,,
1964-01-01,1.6202853512059687,1.6997362261507605,1.6917730954455479,1.6661699081073955,1.6681606907837052,1.4357859496734293,,,,,
1964-04-01,1.5019759807796655,1.192677847069158,1.184761975767401,1.5845401948563431,1.590526582615532,1.526052493905139,,,,,
1964-07-01,1.4990114388156706,1.0941316211236471,1.1100106231305418,1.477608913352979,1.4776089133530033,1.575511007562369,,,,,
1964-10-01,1.513231451027656,1.0200758723503798,1.0200758723504677,1.2516553916734896,1.2516553916734863,1.4949936019975518,,,,,
1965-01-01,1.6709951862678891,1.5134514064712352,1.5055836632347663,1.2051080336207942,1.205084186753605,1.3797281333759015,,,,,
1965-04-01,1.6443810089704716,1.225476714159123,1.241187979137237,1.2192145344632532,1.2132839035260963,1.288396718277629,,,,,
1965-07-01,1.6347991684100958,1.2451920425325316,1.2373485207909596,1.2510490088783577,1.2510490088783173,1.2317567421589737,,,,,
1965-10-01,1.6551530681236415,1.334856775819105,1.3270635306140477,1.3277959234442527,1.3297442347454986,1.2507918751016645,,,,,
1966-01-01,1.8014716383086,2.005601216687151,1.9978857770265535,1.4508714518921995,1.4527816872994777,1.3122327296695158,,,,,
1966-04-01,2.041547526238757,3.220498731169416,3.2436993539228354,1.951499295588599,1.951537191552051,1.4953039199508522,,,,,
